title,imgurl,producturl,stars,price,id
Travel Luggage Cover Suitcase Protector Fits 18-32 Inch Luggage,https://m.media-amazon.com/images/I/51INSJvERZL._AC_UL320_.jpg,https://www.amazon.com/dp/B07DK7S5TT,4.3,17.99,104
Luggage Sets Expandable ABS Hardshell 3pcs Clearance Luggage Hardside Lightweight Durable Suitcase sets Spinner Wheels Suitcase with TSA Lock (Black),https://m.media-amazon.com/images/I/71OnrskuxvL._AC_UL320_.jpg,https://www.amazon.com/dp/B09XMLCQN4,4.5,179.99,104
"Vienna Spinner Suitcase Luggage - Expandable with Wheels - 26.7 Inch, Black",https://m.media-amazon.com/images/I/81NWjyJiPlL._AC_UL320_.jpg,https://www.amazon.com/dp/B07FNJXLX6,4.3,101.32,104
"3 Pieces Clear Luggage Covers for Suitcase Waterproof Luggage Protector Luggage Protective Cover for Travel (Fits Most 20"" to 28"" Luggage)",https://m.media-amazon.com/images/I/71QybQfhEwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BDLYKQPZ,4.1,22.98,104
"Bold-Softside Expandable Luggage with Spinner Wheels, Blue/Black, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/91goVfbZDkL._AC_UL320_.jpg,https://www.amazon.com/dp/B07G23DCNL,4.5,212.49,104
"Geometric Travel Luggage Expandable Suitcase Spinner with Wheels and Built-In TSA Lock, 21.7-Inch - Pink",https://m.media-amazon.com/images/I/81dYj3YPlCL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GNWPT8C,4.6,83.17,104
"Helium Aero Hardside Expandable Luggage with Spinner Wheels, Blue Cobalt, 3-Piece Set (21/25/29)",https://m.media-amazon.com/images/I/71FTr4k1ihL._AC_UL320_.jpg,https://www.amazon.com/dp/B078KVYFCQ,4.4,399.99,104
"Werks Traveler 6.0 Softside Spinner Luggage, Blue, Checked-Large (27"") (605412)",https://m.media-amazon.com/images/I/81SwUrzO8iL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GLNNQWF,4.6,650.0,104
"GinzaTravel Trunk Luggage, 28 Inch Luggage with Spinner Wheels, Scratch resistant texture Lightweight PC material with TSA Lock(Family Travel Series ) (Black)",https://m.media-amazon.com/images/I/719HAO2Kv1L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B3X4CH2R,4.2,109.97,104
"Evolve SE Hardside Expandable Luggage with Double Wheels, Matte Burgundy, Large Spinner",https://m.media-amazon.com/images/I/91jnf6Egh8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BN4CTWBF,4.5,155.0,104
